Index,Category,Product Company Name,Product Name,Product MRP,Product Price,Dicount Information,Product Details ,Product Code,Seller Information,Source of Product
4,T-Shirts,"""H&M""","""Men White Solid Cotton T-shirt Regular Fit""",399,399,0,"""{'Product Details ': '""T-shirt in soft cotton jersey. Regular Fit.""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% CottonMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11468714,Sold by: H & M Hennes & Mauritz Retail Private Limited  H & M Hennes & Mauritz Retail Private Limited ,"""Manufacturer/Packer/Importer Details::Manufactured By : QUANTUM KNITS-3460 AVINASHI MAIN ROAD,, THEKKALUR, 641654, TIRUPUR-----Country of origin::India-----"""
0,T-Shirts,"""H&M""","""Men Beige Solid Cotton T-shirt Regular Fit""",399,399,0,"""{'Product Details ': '""T-shirt in soft cotton jersey. Regular Fit.""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% Cotton       Machine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11468756,Sold by: H & M Hennes & Mauritz Retail Private Limited  H & M Hennes & Mauritz Retail Private Limited ,"""Manufacturer/Packer/Importer Details::Imported By : H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India-----Country of origin::Bangladesh-----"""
2,T-Shirts,"""H&M""","""Men Black Solid Cotton T-shirt Regular Fit""",399,399,0,"""{'Product Details ': '""T-shirt in soft cotton jersey. Regular Fit.""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""60% Cotton, 40% PolyesterMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fabric 2:Polyester,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11468710,Sold by: H & M Hennes & Mauritz Retail Private Limited  H & M Hennes & Mauritz Retail Private Limited ,"""Manufacturer/Packer/Importer Details::Imported By : H&M Hennes & Mauritz Retail Pvt. Ltd. A-wing, D-3, 2nd Floor District Centre Saket New Delhi -110017 India-----Country of origin::Bangladesh-----"""
3,T-Shirts,"""Difference of Opinion""","""Men Sea Green Solid Round Neck T-shirt""",1249,474,(62% OFF),"""{'Product Details ': '""Sea Green solid T-shirt, has a round neck, and long sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 100% cottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Striped,Sleeve Length:Long Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11077774,Sold by: RetailNet  RetailNet ,"""Manufacturer/Packer/Importer Details::Elcinco Inc - #17,Amarjothi Sathyamoorthy Nagar, 1st Street, Kangeyam Road, Tirupur. Pin - 641604. Ph- 98949 48947-----Country of origin::India-----"""
1,T-Shirts,"""FIDO DIDO""","""Men Pink Solid Polo Collar Slim Fit T-shirt""",1449,579,(60% OFF),"""{'Product Details ': '""Pink solid T-shirt, has a polo collar, short sleeves.""', 'Size & Fit': '""Slim FitThe model (height 6\') is wearing a size M.""', 'Material & Care': '""CottonMachine-wash.""', 'Specifications': '""""Fabric:Cotton,Fit:Slim Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Polo Collar,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",2471500,Sold by: R.R.LIFESTYLES  R.R.LIFESTYLES ,"""Manufacturer/Packer/Importer Details::R R Lifestyles,#74/24, 1st Floor, 5th Cross, 5th Block, Rajajainagar, S.S.I Area, Banaglore-560010-----Country of origin::USA-----"""
2,T-Shirts,"""HRX by Hrithik Roshan""","""Men Yellow Printed Round Neck T-Shirt""",699,559,(20% OFF),"""{'Product Details ': '""Keep this hip this season with the HRX Men\'s Athleisure T-shirt. This versatile T-shirt can be styled any way you like for the ultimate gym-to-street look.FeaturesAthleisure T-shirt can be paired with tracks, khakis or jeansStyle: Round NeckSleeve: Short SleevesColour: YellowPrint: TypographyFit: Regular""', 'Size & Fit': '""The model height 6\' is wearing a size M""', 'Material & Care': '""100% cotton Machine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Typography or Slogan Prints,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Pattern Coverage:Chest,Print or Pattern Type:Typography,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",1700944,Sold by: Omnitech Retail  Omnitech Retail ,"""Manufacturer/Packer/Importer Details::ELAN APPARELS,2 / 2. KRISHNASAMY LAYOUT. THERKUTHOTTAM , KARUVAMPALAYAM TIRUPUR .641 604,TIRUPUR,TAMILNADU,641604-----Country of origin::INDIA-----"""
4,T-Shirts,"""Mast & Harbour""","""Navy Solid Polo T-shirt""",799,639,(20% OFF),"""{'Product Details ': '""Navy blue solid waist length T-shirt, has a polo collar, short sleeves""', 'Size & Fit': '""The model (height 6\' and shoulders 18"") is wearing a size M""', 'Material & Care': '""100% cotton  Machine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Nautical,Multipack Set:Single,Neck:Polo Collar,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Surface Styling:Applique,Wash Care:Machine Wash,""""'}""",1711535,Sold by: Truecom Retail  Truecom Retail ,"""Manufacturer/Packer/Importer Details::SHIVOM APPARELS,2198, Baba Gajja Jain Colony, Opp. Sagar Dyeing, Ludhiana,2198, Baba Gajja Jain Colony, Opp. Sagar Dyeing, Ludhiana,LUDHIANA,PUNJAB,141010-----Country of origin::INDIA-----"""
3,T-Shirts,"""WROGN""","""Black Printed Slim Fit T-shirt""",799,559,(30% OFF),"""{'Product Details ': '""Black printed T-shirt, has a V-neck, short sleeves""', 'Size & Fit': '""Slim fitThe model (height 6\' and shoulders 18"") is wearing a size M""', 'Material & Care': '""100% cottonMachine-wash cold""', 'Specifications': '""""Fabric:Cotton,Fit:Slim Fit,Length:Regular,Main Trend:Typography or Slogan Prints,Multipack Set:Single,Neck:V-Neck,Occasion:Casual,Pattern:Printed,Pattern Coverage:Chest,Print or Pattern Type:Typography,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",1320997,Sold by: Flashstar Commerce  Flashstar Commerce ,"""Manufacturer/Packer/Importer Details::Universal SportsBiz Private Limited,Universal Sports Biz Pvt. Ltd.Next SCM solutions Pvt. Ltd.,#88/3, Seggehalli village, Kadugodi,BANGALORE,KARNATAKA,560067-----Country of origin::INDIA-----"""
1,T-Shirts,"""Roadster""","""Men Charcoal Self Design Round Neck T-shirt With Contrast Hem""",799,519,(35% OFF),"""{'Product Details ': '""Charcoal self-design T-shirt, has a round neck, short sleeves, contrast hem, and 1 pockets""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 100% cottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Number of Pockets:1,Occasion:Casual,Pattern:Self Design,Pattern Coverage:All-Over,Print or Pattern Type:Self Design,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Surface Styling:Pockets,Wash Care:Machine Wash,""""'}""",10941186,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::POPPYS APPARELS-NO.57, APPACHI NAGAR MAIN ROAD-TAMILNADU-TIRUPUR-641607-----Country of origin::INDIA-----"""
4,T-Shirts,"""Moda Rapido""","""Men Navy Blue & Beige Printed Round Neck T-shirt""",599,419,(30% OFF),"""{'Product Details ': '""Navy Blue and Beige printed T-shirt, has a round neck, and short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 100% CottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Floral Print,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Pattern Coverage:Placement,Print or Pattern Type:Floral,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11269208,Sold by: Vision Star  Vision Star ,"""Manufacturer/Packer/Importer Details::RGT Fashions ,NETAJI SUBHASH NAGAR SOUTH P.O- GHOLA SODEPUR,KOLKATA - 700111,NETAJI SUBHASH NAGAR SOUTH P.OGHOLASODEPUR, KOLKATA -700111-----Country of origin::INDIA-----"""
