Index,Product Company Name: ,Product Name: ,Product MRP: ,Product Price: ,Dicount Information,Product Details ,Product Code,Seller Information,Source of Product
0,"""FIDO DIDO""","""Men Pink Solid Polo Collar Slim Fit T-shirt""",Rs. 1449,Rs. 579,(60% OFF),"""{'Product Details ': '""Pink solid T-shirt, has a polo collar, short sleeves.""', 'Size & Fit': '""Slim FitThe model (height 6\') is wearing a size M.""', 'Material & Care': '""CottonMachine-wash.""', 'Specifications': '""""Fabric:Cotton,Fit:Slim Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Polo Collar,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",2471500,Sold by: R.R.LIFESTYLES  R.R.LIFESTYLES ,"""Manufacturer/Packer/Importer Details::R R Lifestyles,#74/24, 1st Floor, 5th Cross, 5th Block, Rajajainagar, S.S.I Area, Banaglore-560010-----Country of origin::USA-----"""
1,"""WROGN""","""Men Navy Blue & Maroon Striped Slim Fit Round Neck T-shirt""",Rs. 1199,Rs. 839,(30% OFF),"""{'Product Details ': '""Navy Blue and Maroon striped T-shirt, has a round neck, and long sleeves""', 'Size & Fit': '""Slim FitThe model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 100% CottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Slim Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Striped,Pattern Coverage:Full-Front,Print or Pattern Type:Striped,Sleeve Length:Long Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11363560,Sold by: Flashstar Commerce  Flashstar Commerce ,"""Manufacturer/Packer/Importer Details::Universal SportsBiz Private Limited,NO. 500, 1st FLOOR, CMH ROAD, BINNAMANGALA, 2nd STAGE, INDIRANAGAR,,BANGALORE,KARNATAKA,560038-----Country of origin::India-----"""
2,"""HRX by Hrithik Roshan""","""Men Yellow Printed Round Neck T-Shirt""",Rs. 699,Rs. 489,(30% OFF),"""{'Product Details ': '""Keep this hip this season with the HRX Men\'s Athleisure T-shirt. This versatile T-shirt can be styled any way you like for the ultimate gym-to-street look.FeaturesAthleisure T-shirt can be paired with tracks, khakis or jeansStyle: Round NeckSleeve: Short SleevesColour: YellowPrint: TypographyFit: Regular""', 'Size & Fit': '""The model height 6\' is wearing a size M""', 'Material & Care': '""100% cotton Machine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Typography or Slogan Prints,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Pattern Coverage:Chest,Print or Pattern Type:Typography,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",1700944,Sold by: Omnitech Retail  Omnitech Retail ,"""Manufacturer/Packer/Importer Details::ELAN APPARELS,2 / 2. KRISHNASAMY LAYOUT. THERKUTHOTTAM , KARUVAMPALAYAM TIRUPUR .641 604,TIRUPUR,TAMILNADU,641604-----Country of origin::INDIA-----"""
3,"""Difference of Opinion""","""Men Sea Green Solid Round Neck T-shirt""",Rs. 1249,Rs. 1249,0,"""{'Product Details ': '""Sea Green solid T-shirt, has a round neck, and long sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 100% cottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Striped,Sleeve Length:Long Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11077774,Sold by: RetailNet  RetailNet ,"""Manufacturer/Packer/Importer Details::Elcinco Inc - #17,Amarjothi Sathyamoorthy Nagar, 1st Street, Kangeyam Road, Tirupur. Pin - 641604. Ph- 98949 48947-----Country of origin::India-----"""
4,"""H&M""","""Men White Solid Cotton T-shirt Regular Fit""",Rs. 399,Rs. 399,0,"""{'Product Details ': '""T-shirt in soft cotton jersey. Regular Fit.""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% CottonMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11468714,Sold by: H & M Hennes & Mauritz Retail Private Limited  H & M Hennes & Mauritz Retail Private Limited ,"""Manufacturer/Packer/Importer Details::Manufactured By : QUANTUM KNITS-3460 AVINASHI MAIN ROAD,, THEKKALUR, 641654, TIRUPUR-----Country of origin::India-----"""
5,"""Roadster""","""Men Maroon & Navy Blue Striped Round Neck T-shirt""",Rs. 699,Rs. 384,(45% OFF),"""{'Product Details ': '""Maroon and navy blue striped T-shirt, has a round neck, long sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% cottonMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Multi or Variegated Stripes,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Striped,Pattern Coverage:Placement,Print or Pattern Type:Striped,Sleeve Length:Long Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",1697714,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::STAR APPAREL,H.NO:B-24-3102/6/1, STREET NO.1,,NIRANKARI COLONY, SUNDER NAGAR,,LUDHIANA,PUNJAB,141007-----Country of origin::INDIA-----"""
6,"""Superdry""","""Men Navy Blue Printed Round Neck T-shirt""",Rs. 3599,Rs. 3599,0,"""{'Product Details ': '""Navy Blue printed T-shirt, has a round neck, short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""55% Cotton and 45% polyesterMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fabric 2:Polyester,Fit:Regular Fit,Length:Regular,Main Trend:Typography or Slogan Prints,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Pattern Coverage:Chest,Print or Pattern Type:Typography,Sleeve Length:Short Sleeves,Sleeve Styling:Raglan Sleeves,Wash Care:Machine Wash,""""'}""",9375503,Sold by: Vision Star  Vision Star ,"""Manufacturer/Packer/Importer Details::Imported and Marketed By : Reliance Brands Limited, 8th Floor, Maker Tower E, Cuffe Parade, Mumbai - 400 005-----Country of origin::TUR-----"""
7,"""H&M""","""Men Black Solid Long T-shirt""",Rs. 699,Rs. 699,0,"""{'Product Details ': '""Long, straight T-shirt in soft jersey in a relaxed fit with ribbing around the neckline and a very rounded hem.""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% CottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",10359989,Sold by: H & M Hennes & Mauritz Retail Private Limited  H & M Hennes & Mauritz Retail Private Limited ,"""Manufacturer/Packer/Importer Details::Manufactured By: SHIVALIK PRINTS LTD.PLOT NO. 48, Sector 6, 121006, Faridabad-----Country of origin::India-----"""
8,"""HERE&NOW""","""Men White & Black Checked Polo Collar T-shirt""",Rs. 1199,Rs. 719,(40% OFF),"""{'Product Details ': '""White and black checked T-shirt, has a polo collar, and short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% cottonMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Monochrome,Multipack Set:Single,Neck:Polo Collar,Occasion:Casual,Pattern:Checked,Pattern Coverage:All-Over,Print or Pattern Type:Checked,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",10229121,Sold by: Omnitech Retail  Omnitech Retail ,"""Manufacturer/Packer/Importer Details::VEENA FIRMEN,#123 , 2ND CROSS, VISHWESHVARAYYA ROAD,NEARBHANU NURSING HOME, BOMMANAHALLI,BANGALORE,BANGALORE,KARNATAKA,560068-----Country of origin::INDIA-----"""
9,"""H&M""","""Men Black Solid Cotton T-shirt Regular Fit""",Rs. 399,Rs. 399,0,"""{'Product Details ': '""T-shirt in soft cotton jersey. Regular Fit.""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% Cotton       Machine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11468732,Sold by: H & M Hennes & Mauritz Retail Private Limited  H & M Hennes & Mauritz Retail Private Limited ,"""Manufacturer/Packer/Importer Details::Manufactured By : QUANTUM KNITS-3460 AVINASHI MAIN ROAD,, THEKKALUR, 641654, TIRUPUR-----Country of origin::India-----"""
