Index,Type,Link
0,T-Shirts,https://www.myntra.com/men-tshirts
1,Casual Shirts,https://www.myntra.com/men-casual-shirts
2,Formal Shirts,https://www.myntra.com/men-formal-shirts
3,Sweatshirts,https://www.myntra.com/men-sweatshirts
4,Sweaters,https://www.myntra.com/men-sweaters
5,Jackets,https://www.myntra.com/men-jackets
6,Blazers & Coats,https://www.myntra.com/men-blazers
7,Suits,https://www.myntra.com/men-suits
8,Rain Jackets,https://www.myntra.com/rain-jacket
9,Kurtas & Kurta Sets,https://www.myntra.com/men-kurtas
10,Sherwanis,https://www.myntra.com/sherwani
11,Nehru Jackets,https://www.myntra.com/nehru-jackets
12,Dhotis,https://www.myntra.com/dhoti
13,Jeans,https://www.myntra.com/men-jeans
14,Casual Trousers,https://www.myntra.com/men-casual-trousers
15,Formal Trousers,https://www.myntra.com/men-formal-trousers
16,Shorts,https://www.myntra.com/mens-shorts
17,Track Pants & Joggers,https://www.myntra.com/men-trackpants
18,Briefs & Trunks,https://www.myntra.com/men-briefs-and-trunks
19,Boxers,https://www.myntra.com/men-boxers
20,Vests,https://www.myntra.com/men-innerwear-vests
21,Sleepwear & Loungewear,https://www.myntra.com/men-nightwear
22,Thermals,https://www.myntra.com/men-thermals
23,Casual Shoes,https://www.myntra.com/men-casual-shoes
24,Sports Shoes,https://www.myntra.com/men-sports-shoes
25,Formal Shoes,https://www.myntra.com/men-formal-shoes
26,Sneakers,https://www.myntra.com/men-sneakers
27,Sandals & Floaters,https://www.myntra.com/men-sandals
28,Flip Flops,https://www.myntra.com/men-flip-flops
29,Socks,https://www.myntra.com/men-socks
30,Sports Shoes,https://www.myntra.com/men-sports-shoes
31,Sports Sandals,https://www.myntra.com/men-sports-sandals
32,Active T-Shirts,https://www.myntra.com/men-sports-wear-tshirts
33,Track Pants & Shorts,https://www.myntra.com/men-trackpants-shorts
34,Tracksuits,https://www.myntra.com/men-tracksuits
35,Jackets & Sweatshirts,https://www.myntra.com/men-sports-jackets
36,Sports Accessories,https://www.myntra.com/men-sports-accessories
37,Swimwear,https://www.myntra.com/men-swimwear
38,Smart Wearables,https://www.myntra.com/smart-wearables
39,Fitness Gadgets,https://www.myntra.com/smart-wearables?f=Categories%3AFitness%20Bands
